ダウンロードした時刻：2020/08/12 14:47:28

,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/8/6,30.9,8,1,37.4,8,3,26.9,8,3
2019/8/7,30.7,8,1,37.7,8,3,26.4,8,3
2019/8/8,30.7,8,1,37.0,8,3,26.5,8,3
2019/8/9,30.8,8,1,37.3,8,3,26.9,8,3
2019/8/10,30.3,8,1,35.6,8,3,26.8,8,3
2019/8/11,29.2,8,1,33.8,8,3,25.9,8,3
2020/8/1,25.9,8,1,31.8,8,3,22.0,8,3
2020/8/2,26.3,8,1,31.7,8,3,21.7,8,3
2020/8/3,27.5,8,1,33.8,8,3,21.8,8,3
2020/8/4,28.7,8,1,34.7,8,3,25.0,8,3
2020/8/5,29.9,8,1,35.8,8,3,26.2,8,3
2020/8/6,29.5,8,1,34.8,8,3,25.5,8,3
2020/8/7,30.6,8,1,36.4,8,3,24.7,8,3
2020/8/8,27.7,8,1,32.2,8,3,24.4,8,3
2020/8/9,29.3,8,1,36.1,8,3,22.9,8,3
2020/8/10,30.8,8,1,36.3,8,3,25.7,8,3
2020/8/11,32.5,8,1,38.7,8,3,26.5,8,3
